,name,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,Degree,Eccentricity
367,P14625,7.76168224,0.0,0.12883805,1,18
368,P26651,7.57476636,0.02910655,0.13201727,2,18
369,P78524,7.76168224,0.0,0.12883805,1,18
370,Q12872,7.75046729,0.0111625,0.12902448,2,18
371,Q14494,5.97663551,0.04782716,0.16731822,2,16
372,Q6IQ21,7.76168224,0.0,0.12883805,1,18
373,Q7L014,7.76168224,0.0,0.12883805,1,18
374,Q92956,7.76168224,0.0,0.12883805,1,18
375,Q9NXL9,7.76168224,0.0,0.12883805,1,18
376,Q5NF52,7.8317757,0.01168147,0.12768496,6,18
377,O15169,8.52616822,0.00089657,0.11728598,2,18
378,Q7LDG7,8.83084112,0.0,0.11323949999999999,1,19
379,Q9P219,8.83084112,0.0,0.11323949999999999,1,19
380,Q9UL46,7.25140187,0.00838129,0.13790437,4,17
381,Q5NF53,8.42056075,0.01562254,0.11875694,9,18
382,O00622,9.41962617,0.0,0.10616133,1,19
383,P04440,9.41962617,0.0,0.10616133,1,19
384,P05165,9.41962617,0.0,0.10616133,1,19
385,Q13315,8.19906542,0.00837283,0.12196512,2,19
386,Q5VXM9,9.41962617,0.0,0.10616133,1,19
387,Q8NDX5,9.41962617,0.0,0.10616133,1,19
388,Q9H098,9.41962617,0.0,0.10616133,1,19
389,Q9UBW7,9.41962617,0.0,0.10616133,1,19
390,Q9Y2K1,7.96728972,0.01105415,0.12551320000000002,2,17
391,Q5NF60,6.09719626,0.02632251,0.16400981,7,16
392,O94964,7.09626168,0.0,0.14091927,1,17
393,P01912,6.34859813,0.00955772,0.15751509,3,15
394,Q8IWU5,7.09626168,0.0,0.14091927,1,17
395,Q92541,7.09626168,0.0,0.14091927,1,17
396,Q9BX26,7.09626168,0.0,0.14091927,1,17
397,Q5NF66,8.19252336,0.0,0.12206251,1,16
398,Q9C005,7.19345794,0.00931782,0.1390152,3,15
399,Q5NF67,7.22242991,0.0067613,0.13845756,5,16
400,Q96PV0,8.22149533,0.0,0.12163237,1,17
401,Q9UHY8,8.22149533,0.0,0.12163237,1,17
402,Q5NF68,1.0,0.0,1.0,1,1
403,Q86VP1,1.0,0.0,1.0,1,1
404,Q5NF74,6.55700935,0.06535184,0.15250855,29,17
405,O15230,7.55607477,0.0,0.13234385,1,18
406,O43143,7.55607477,0.0,0.13234385,1,18
407,O75592,7.55607477,0.0,0.13234385,1,18
408,O75691,7.55607477,0.0,0.13234385,1,18
409,O76096,7.55607477,0.0,0.13234385,1,18
410,P10619,7.55607477,0.0,0.13234385,1,18
411,P19878,7.41775701,0.00645049,0.13481164,2,18
412,P23284,7.21775701,0.00843154,0.1385472,3,16
413,P25774,7.55607477,0.0,0.13234385,1,18
414,P27816,7.55607477,0.0,0.13234385,1,18
415,P31994,7.55607477,0.0,0.13234385,1,18
416,P42694,7.32990654,0.00358063,0.13642739,2,16
417,P51665,7.55607477,0.0,0.13234385,1,18
418,P63244,6.64766355,0.01582631,0.15042879,2,16
419,Q13136,7.55607477,0.0,0.13234385,1,18
