,name,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,Degree,Eccentricity
690,Q8NC42,6.05062724,0.0,0.16527212,1,10
691,Q81LA9,8.26164875,0.0,0.12104121,1,13
692,O75882,7.26209677,0.00268657,0.13770128,3,12
693,Q81LB0,1.0,0.0,1.0,1,1
694,Q8NFW8,1.0,0.0,1.0,1,1
695,Q81LB8,5.90322581,0.00124918,0.16939891,3,11
696,P12955,5.79077061,0.00165494,0.17268859,4,10
697,Q9BT09,6.90277778,0.0,0.14486922,1,12
698,Q81LC0,5.47491039,0.00027893,0.18265139,2,10
699,Q81LC3,6.58781362,0.0008113999999999999,0.15179543,2,12
700,P22352,7.22894265,0.00030251,0.13833282,2,12
701,Q81LC5,5.19086022,0.00608756,0.1926463,6,10
702,P01834,4.46191756,0.02879487,0.22411889,10,9
