protein_b	int_type
Q5NHN4	Q9ULH0
Q5NI66	Q59H65
Q5NEB6	Q30154
Q5NGM7	O15162
Q5NE79	Q9NYI0
Q5NIP5	P25789
Q5NH02	Q9UL46
Q5NIJ3	Q99633
Q5NHR7	O15162
Q5NF74	P10619
Q5NGF9	Q8WXW3
Q5NGE6	P04792
Q5NEB2	P04792
Q5NI96	Q5TEJ8
Q5NHH2	P42785
Q5NI93	Q96JQ0
Q5NEC0	Q9UKK3
Q5NGL9	Q96JQ0
Q5NGV7	Q8WX93
Q5NEC0	P25116
Q5NEB9	Q8NDF8
Q5NH38	P11940
Q5NHN4	Q86U42
Q5NFB0	P11940
Q5NEH1	Q9H074
Q5NIJ3	P0C869
Q5NGV3	O00459
Q5NFN4	P0C869
Q5NFJ2	Q99650
Q5NIP5	P04637
Q5NFP9	Q96SU4
Q5NGF9	P39656
Q5NF53	P05165
Q5NID2	O94913
Q5NII2	Q12891
Q5NGP3	P49585
Q5NF53	Q8NDX5
Q5NHM0	O94880
Q5NEA2	Q96QT6
Q5NIL8	O43189
Q5NFN4	Q9H7Z7
Q5NFN3	P49354
Q5NIA8	P21810
Q5NH18	Q5T2W1
Q5NGF1	Q9UHV9
Q5NIJ0	Q5T2W1
Q5NHG8	Q76G19
Q5NEC0	Q9NR12
Q5NH25	P07237
Q5NIG3	O60658
Q5NH21	Q14554
Q5NGV7	Q15154
Q5NEH1	Q9UBD5
Q5NG89	Q13438
Q5NH99	Q13438
